epoch,lr-Adam,mae,r2,rmse,step,test_mae/dataloader_idx_0,test_mae/dataloader_idx_1,test_mae/dataloader_idx_2,test_r2/dataloader_idx_0,test_r2/dataloader_idx_1,test_r2/dataloader_idx_2,val_mae,val_r2,val_rmse
,0.001,,,,0,,,,,,,,,
0,,93.05461883544922,-1.4125919342041016,110.40819549560547,19,,,,,,,,,
0,,47.19150924682617,0.053326189517974854,63.1239013671875,39,,,,,,,,,
0,,49.652549743652344,-0.24287927150726318,64.77328491210938,59,,,,,,,,,
0,,,,,77,,,,,,,47.02263641357422,0.08905881643295288,57.61693572998047
,0.00095,,,,78,,,,,,,,,
1,,40.65827560424805,0.2698476314544678,51.43877029418945,79,,,,,,,,,
1,,50.04893493652344,-0.07248556613922119,68.43425750732422,99,,,,,,,,,
1,,55.202247619628906,-0.10724842548370361,68.48672485351562,119,,,,,,,,,
1,,53.77643966674805,0.2600054144859314,61.28022003173828,139,,,,,,,,,
1,,,,,155,,,,,,,43.98026657104492,0.20925599336624146,53.9764404296875
,0.0009025,,,,156,,,,,,,,,
2,,53.121070861816406,0.08703500032424927,64.94143676757812,159,,,,,,,,,
2,,50.5046501159668,0.0659211277961731,63.126468658447266,179,,,,,,,,,
2,,32.514163970947266,0.43547767400741577,42.106990814208984,199,,,,,,,,,
2,,39.7506217956543,0.3218310475349426,49.65224838256836,219,,,,,,,,,
2,,,,,233,,,,,,,50.477230072021484,-0.07127291709184647,61.12776184082031
,0.000857375,,,,234,,,,,,,,,
3,,55.803306579589844,0.024483025074005127,70.6776351928711,239,,,,,,,,,
3,,49.64289855957031,-0.02555215358734131,57.95024871826172,259,,,,,,,,,
3,,53.04111099243164,-0.2780071496963501,77.99626922607422,279,,,,,,,,,
3,,47.13083267211914,0.02605527639389038,58.71494674682617,299,,,,,,,,,
3,,,,,311,,,,,,,43.47798538208008,0.18537312746047974,54.231754302978516
,0.0008145062499999999,,,,312,,,,,,,,,
4,,38.414703369140625,0.2429569959640503,53.23979187011719,319,,,,,,,,,
4,,48.7061882019043,0.19385457038879395,59.15004348754883,339,,,,,,,,,
4,,37.96491622924805,0.3856131434440613,46.67009735107422,359,,,,,,,,,
4,,37.81074523925781,0.32199639081954956,51.647159576416016,379,,,,,,,,,
4,,,,,389,,,,,,,42.18175506591797,0.2697853147983551,51.824424743652344
,0.0007737809374999998,,,,390,,,,,,,,,
5,,43.94409942626953,0.02920544147491455,59.133609771728516,399,,,,,,,,,
5,,52.322513580322266,0.20714151859283447,70.49201202392578,419,,,,,,,,,
5,,42.34674072265625,0.29752206802368164,56.49400329589844,439,,,,,,,,,
5,,39.42474365234375,0.21871024370193481,48.10552215576172,459,,,,,,,,,
5,,,,,467,,,,,,,42.17488098144531,0.26441478729248047,52.05624008178711
,0.0007350918906249997,,,,468,,,,,,,,,
6,,39.446224212646484,0.35263264179229736,55.74055480957031,479,,,,,,,,,
6,,45.19470977783203,0.2916719317436218,57.90567398071289,499,,,,,,,,,
6,,41.965816497802734,0.32777708768844604,57.02641677856445,519,,,,,,,,,
6,,41.20394515991211,0.37518632411956787,51.898643493652344,539,,,,,,,,,
6,,,,,545,,,,,,,42.134056091308594,0.2468346357345581,52.95981979370117
,0.0006983372960937497,,,,546,,,,,,,,,
7,,35.94215393066406,0.3114619851112366,49.26992416381836,559,,,,,,,,,
7,,33.640525817871094,0.4283437132835388,45.513038635253906,579,,,,,,,,,
7,,49.53681564331055,-0.03243386745452881,65.55230712890625,599,,,,,,,,,
7,,37.39855194091797,0.5594913959503174,47.568267822265625,619,,,,,,,,,
7,,,,,623,,,,,,,40.47950744628906,0.25730037689208984,52.20183181762695
,0.0006634204312890621,,,,624,,,,,,,,,
8,,38.8087272644043,0.17203330993652344,58.55495071411133,639,,,,,,,,,
8,,42.50416564941406,0.29232966899871826,55.74504852294922,659,,,,,,,,,
8,,40.572601318359375,0.6078550219535828,47.600162506103516,679,,,,,,,,,
8,,50.703399658203125,0.10881870985031128,64.03404998779297,699,,,,,,,,,
8,,,,,701,,,,,,,41.526458740234375,0.2574673593044281,51.79719543457031
,0.000630249409724609,,,,702,,,,,,,,,
9,,55.64168930053711,-0.1563282012939453,70.90574645996094,719,,,,,,,,,
9,,33.56321334838867,0.6315263509750366,43.058265686035156,739,,,,,,,,,
9,,33.409278869628906,0.48039954900741577,45.68301773071289,759,,,,,,,,,
9,,51.221031188964844,0.04165917634963989,63.02976608276367,779,,,,,,,,,
9,,,,,779,,,,,,,41.80310821533203,0.21834543347358704,52.44406509399414
,0.0005987369392383785,,,,780,,,,,,,,,
10,,46.863826751708984,0.15346723794937134,57.2202033996582,799,,,,,,,,,
10,,34.47444534301758,0.45946013927459717,44.03770065307617,819,,,,,,,,,
10,,47.652828216552734,0.11656373739242554,59.776458740234375,839,,,,,,,,,
10,,,,,857,,,,,,,40.65322494506836,0.2850501239299774,50.878395080566406
,0.0005688000922764595,,,,858,,,,,,,,,
11,,42.954368591308594,-0.003438115119934082,55.91081619262695,859,,,,,,,,,
11,,34.18204879760742,0.5400281548500061,43.721134185791016,879,,,,,,,,,
11,,47.002010345458984,0.14966577291488647,60.99696731567383,899,,,,,,,,,
11,,39.615745544433594,0.5442728996276855,50.07710266113281,919,,,,,,,,,
11,,,,,935,,,,,,,40.811676025390625,0.2801705002784729,51.11514663696289
,0.0005403600876626365,,,,936,,,,,,,,,
12,,31.663166046142578,0.5036589503288269,41.566986083984375,939,,,,,,,,,
12,,54.829002380371094,-0.04678189754486084,69.70047760009766,959,,,,,,,,,
12,,48.23789978027344,0.08033150434494019,65.35586547851562,979,,,,,,,,,
12,,32.51228332519531,0.404918909072876,40.394474029541016,999,,,,,,,,,
12,,,,,1013,,,,,,,42.54802703857422,0.21716350317001343,53.50985336303711
,0.0005133420832795047,,,,1014,,,,,,,,,
13,,46.0670051574707,0.1032223105430603,54.101600646972656,1019,,,,,,,,,
13,,39.802513122558594,0.2259896993637085,51.20375061035156,1039,,,,,,,,,
13,,35.115943908691406,0.3166254162788391,43.71470642089844,1059,,,,,,,,,
13,,44.480899810791016,0.2412322759628296,56.957881927490234,1079,,,,,,,,,
13,,,,,1091,,,,,,,41.76496124267578,0.248635396361351,51.28909683227539
,0.00048767497911552944,,,,1092,,,,,,,,,
