epoch,lr-Adam,mae,r2,rmse,step,val_mae,val_r2,val_rmse
,0.005,,,,0,,,
0,,105.09996795654297,-0.6502362489700317,135.24928283691406,4,,,
0,,109.31854248046875,-0.33737802505493164,141.0778045654297,9,,,
0,,,,,9,107.93355560302734,-0.18234117329120636,133.3481903076172
,0.00475,,,,10,,,
1,,94.75569152832031,-0.32062816619873047,127.94917297363281,14,,,
1,,102.99240112304688,-0.15078508853912354,125.51681518554688,19,,,
1,,,,,19,110.3857421875,-0.10864019393920898,128.98973083496094
,0.0045125,,,,20,,,
2,,94.5667724609375,-0.33799290657043457,120.22795104980469,24,,,
2,,105.80644226074219,-0.2347506284713745,131.25234985351562,29,,,
2,,,,,29,105.8525161743164,-0.07808887213468552,127.60182189941406
,0.004286875,,,,30,,,
3,,101.87619018554688,-0.12624859809875488,119.8580322265625,34,,,
3,,104.26065826416016,-0.20711076259613037,127.74830627441406,39,,,
3,,,,,39,105.19912719726562,-0.05053010582923889,126.0689926147461
,0.00407253125,,,,40,,,
4,,100.99159240722656,-0.2510056495666504,125.5780029296875,44,,,
4,,96.20081329345703,-0.2092212438583374,125.93187713623047,49,,,
4,,,,,49,104.39093017578125,-0.09389351308345795,128.5453643798828
,0.0038689046874999995,,,,50,,,
5,,92.86131286621094,-0.07860958576202393,115.47574615478516,54,,,
5,,111.43222045898438,-0.25018811225891113,137.23403930664062,59,,,
5,,,,,59,105.75251007080078,-0.05928995460271835,126.5812759399414
,0.003675459453124999,,,,60,,,
6,,95.7207260131836,-0.08525681495666504,118.52876281738281,64,,,
6,,94.60040283203125,-0.22839295864105225,117.65611267089844,69,,,
6,,,,,69,105.98767852783203,-0.054575271904468536,126.32632446289062
,0.003491686480468749,,,,70,,,
7,,95.56949615478516,-0.24324321746826172,122.9433822631836,74,,,
7,,98.16676330566406,-0.1384950876235962,125.68643188476562,79,,,
7,,,,,79,105.8341293334961,-0.05811426788568497,126.53829193115234
,0.0033171021564453113,,,,80,,,
8,,102.22147369384766,-0.04478883743286133,129.0870819091797,84,,,
8,,103.98777770996094,-0.1928563117980957,129.3726043701172,89,,,
8,,,,,89,105.80171203613281,-0.05552392825484276,126.51771545410156
,0.0031512470486230455,,,,90,,,
9,,91.27175903320312,-0.09916150569915771,116.24185180664062,94,,,
9,,94.12754821777344,-0.11224663257598877,119.8646469116211,99,,,
9,,,,,99,102.70076751708984,-0.09943946450948715,129.04055786132812
,0.002993684696191893,,,,100,,,
10,,100.71232604980469,-0.10401284694671631,124.47502899169922,104,,,
10,,93.0532455444336,-0.18020880222320557,119.37712860107422,109,,,
10,,,,,109,103.88289642333984,-0.052555281668901443,126.12252044677734
,0.0028440004613822984,,,,110,,,
11,,97.12360382080078,-0.21957385540008545,124.09656524658203,114,,,
11,,90.28768920898438,-0.12134838104248047,115.02513122558594,119,,,
11,,,,,119,102.74931335449219,-0.06804724037647247,127.19274139404297
,0.0027018004383131834,,,,120,,,
