epoch,lr-Adam,mae,r2,rmse,step,val_mae,val_r2,val_rmse
,0.001,,,,0,,,
0,,94.62798309326172,-1.6329033374786377,119.57742309570312,4,,,
0,,76.00691986083984,-1.282458782196045,97.55350494384766,9,,,
0,,,,,10,83.05644989013672,-1.442602515220642,107.750732421875
,0.00095,,,,11,,,
1,,81.3779067993164,-1.2522332668304443,106.05521392822266,14,,,
1,,65.81643676757812,-0.49819302558898926,86.42818450927734,19,,,
1,,,,,21,56.8902702331543,-0.0855628103017807,72.71316528320312
,0.0009025,,,,22,,,
2,,61.27949905395508,-0.19183051586151123,76.05805206298828,24,,,
2,,54.42655944824219,-0.082611083984375,70.25015258789062,29,,,
2,,,,,32,49.57573318481445,0.11778753250837326,65.42308044433594
,0.000857375,,,,33,,,
3,,52.43701934814453,-0.17386507987976074,65.31167602539062,34,,,
3,,56.17967224121094,-0.17060434818267822,76.86067199707031,39,,,
3,,,,,43,45.91626739501953,0.21876145899295807,61.47144317626953
,0.0008145062499999999,,,,44,,,
4,,54.992679595947266,0.026171624660491943,70.80519104003906,44,,,
4,,56.2954216003418,-0.13686597347259521,76.00624084472656,49,,,
4,,56.80610275268555,-0.1903061866760254,76.82719421386719,54,,,
4,,,,,54,40.69819259643555,0.3721811771392822,54.78575134277344
,0.0007737809374999998,,,,55,,,
5,,45.3093376159668,0.19530296325683594,54.18080139160156,59,,,
5,,45.47234344482422,0.10854172706604004,65.01860046386719,64,,,
5,,,,,65,39.9091796875,0.37892454862594604,54.880611419677734
,0.0007350918906249997,,,,66,,,
6,,46.64516830444336,-0.03367316722869873,64.07949829101562,69,,,
6,,42.829673767089844,0.22991693019866943,58.83753204345703,74,,,
6,,,,,76,36.88316345214844,0.4581780433654785,51.056480407714844
,0.0006983372960937497,,,,77,,,
7,,40.0268440246582,0.29077666997909546,54.89388656616211,79,,,
7,,51.52622985839844,0.06841862201690674,71.57508087158203,84,,,
7,,,,,87,36.06681823730469,0.4627652168273926,50.694053649902344
,0.0006634204312890621,,,,88,,,
8,,46.40635681152344,0.19479995965957642,64.22685241699219,89,,,
8,,49.2357177734375,0.034782469272613525,72.59521484375,94,,,
8,,,,,98,35.68680191040039,0.48321083188056946,49.75767517089844
,0.000630249409724609,,,,99,,,
9,,39.72007751464844,0.2687802314758301,56.584861755371094,99,,,
9,,45.5194206237793,0.14280664920806885,66.237060546875,104,,,
9,,49.0909538269043,0.13374590873718262,73.30634307861328,109,,,
9,,,,,109,34.99306869506836,0.5053567886352539,48.96459197998047
,0.0005987369392383785,,,,110,,,
10,,44.668601989746094,0.11472898721694946,72.03848266601562,114,,,
10,,42.748416900634766,0.26506149768829346,58.17549514770508,119,,,
10,,,,,120,33.869422912597656,0.5097208619117737,48.635475158691406
,0.0005688000922764595,,,,121,,,
11,,51.27434539794922,0.07669603824615479,75.19641876220703,124,,,
11,,45.76765060424805,0.17708635330200195,61.748661041259766,129,,,
11,,,,,131,33.59953689575195,0.5096434354782104,49.064456939697266
,0.0005403600876626365,,,,132,,,
12,,40.13789367675781,0.015598893165588379,54.488346099853516,134,,,
12,,41.883018493652344,0.1771395206451416,59.247840881347656,139,,,
