code;smiles;cation;anion;MP
im;[nH+]c[nH]1;n-1ph,14,1,1;van;320.5
im-1;Cn1cc[nH+]c1;n-1,1,1,1;val;313.2
im-2;CCn1cc[nH+]c1;n-4,4,4,4;val;298.2
im-4;CCCCn1cc[nH+]c1;p-4,4,4,4;val;298.9
im-6;CCCCCCn1cc[nH+]c1;n-5,5,5,5;tsac;289.2
im-1,1[2];Cc1[nH]cc[n+]1C;p-6,1,1,1;tsac;280.5
im-1,s4[2];CCCCSc1[nH+]ccn1C;im-2,1;tfpb;407.2
im-1,1;Cn1cc[n+](C)c1;im-4,1;tfpb;377.2
im-2,1;CCn1cc[n+](C)c1;im-5,1;tfpb;355.2
im-2,1,1;CCn1cc[n+](C)c1C;im-6,1;tfpb;355.2
im-2,2;CCn1cc[n+](CC)c1;im-7,1;tfpb;342.2
im-2,2,1;CCn1cc[n+](CC)c1C;im-8,1;tfpb;348.2
im-2,1,1[5];CCn1c[n+](C)cc1C;im-10,1;tfpb;358.2
im-2,2,1[5];CCn1c[n+](CC)cc1C;im-12,1;tfpb;345.2
im-3,1;CCC[n+]1ccn(C)c1;py-12;tfpb;337.2
im-3i,1;CC(C)[n+]1ccn(C)c1;quini-18;tfpb;304.2
im-3,3;CCCn1cc[n+](CCC)c1;n-8,8,8,1;tfpb;309.2
im-3,1,1;CCC[n+]1ccn(C)c1C;n-4,4,4,4;tfesi;317.2
im-4,1;CCCCn1cc[n+](C)c1;pyr-3,1;tfesi;282.2
im-4,2;CCCC[n+]1ccn(CC)c1;pip-3,1;tfesi;299.2
im-4i,4i;CC(C)Cn1cc[n+](CC(C)C)c1;im-1;tfa-6[f];359.2
im-4,1,1;CCCCn1cc[n+](C)c1C;n-2;tfa-6[f];331.2
im-5,1;CCCCCn1cc[n+](C)c1;n-4;tfa-6[f];318.2
im-5i,1;CC(C)CCn1cc[n+](C)c1;im-8,1;tfa-3[f];297.2
im-6,1;CCCCCC[n+]1ccn(C)c1;py-2,1[3];tfa-3[f];275,0
im-6i,1;CC(C)CCC[n+]1ccn(C)c1;im-1;tfa-2[f];352.2
im-6,6;CCCCCCn1cc[n+](CCCCCC)c1;pyrro;tfa-2[f];281.2
im-6,1,1;CCCCCC[n+]1ccn(C)c1C;n-2;tfa-2[f];332.2
im-7,1;CCCCCCC[n+]1ccn(C)c1;n-4;tfa-2[f];326.2
im-7i,1;CC(C)CCCC[n+]1ccn(C)c1;n-2,2;tfa-2[f];318.2
im-8,1;CCCCCCCCn1cc[n+](C)c1;n-2,2,2;tfa-2[f];298.2
im-8i,8i;CCCC[C@H](CC)Cn1cc[n+](C[C@H](CC)CCCC)c1;n-2oh;tfa-2[f];314.2
im-10,1;CCCCCCCCCCn1cc[n+](C)c1;pyr;tfa-2[f];277.2
im-10,10;CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1;im-1,1;tfa;325.2
im-12,1;CCCCCCCCCCCCn1cc[n+](C)c1;im-2,1;tfa;257.833333333333
im-14,1;CCCCCCCCCCCCCCn1cc[n+](C)c1;im-2,1,1;tfa;332.2
im-18,1;CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1;im-8,1;tfa;279.5
im-a,1;C[n+]1ccn(CC=C)c1;n-1;tfa;334.2
im-a,3;CCC[n+]1ccn(CC=C)c1;n-2;tfa;331.2
im-c,1,1;C\C=C\C[n+]1ccn(C)c1C;n-2oh;tfa;362.2
im-a,a;C=CCn1cc[n+](CC=C)c1;pyr;tfa;263.2
im-1cch,1;C[n+]1ccn(CC#C)c1;pip-4,1,1[3];tfa;331.2
im-1cch,1cch;C#CCn1cc[n+](CC#C)c1;pip-6,1,1[3];tfa;314.2
im-2oh,1;C[n+]1ccn(CCO)c1;azp-4,1;tfa;347.2
im-1o1,1;COCn1cc[n+](C)c1;azp-6,1;tfa;318.2
im-2o1,1;COCC[n+]1ccn(C)c1;azp-2o1,1;tfa;285.2
im-2o1,1,1;COCC[n+]1ccn(C)c1C;im-4,1;tehss;251.2
im-2o1,2,2;CCc1n(CC)cc[n+]1CCOC;im-2,1;tcb;281.5
im-2o1,3,1;CCCn1cc[n+](CCOC)c1C;im-4,1,1;tcb;336.2
im-2o1,3,2;CCCn1cc[n+](CCOC)c1CC;py;tcb;410.2
im-2o1,4,2;CCCCn1cc[n+](CCOC)c1CC;n-1,1;tcb;402.2
im-2o1,5,1;CCCCCn1cc[n+](CCOC)c1C;pyr-4,1;tcb;292.35
im-2o1,5,2;CCCCCn1cc[n+](CCOC)c1CC;pip-4,1;tcb;290.2
im-2o1,2o1,1;COCCn1cc[n+](CCOC)c1C;im-2,1;tca-1cn;298.2
im-2o1,2o1,2;CCc1n(CCOC)cc[n+]1CCOC;im-2,1;tca-1;315.2
im-2o2,2o1,1;CCOCC[n+]1ccn(CCOC)c1C;im-2,1;tca;315.2
im-1,1,1o2;CCOCc1n(C)cc[n+]1C;im-4,1;tca;293.2
im-1,1,1o3;CCCOCc1n(C)cc[n+]1C;im-4,1;so4-8;259.2
im-1o1,1,1;COC[n+]1ccn(C)c1C;im-4,1;so4-5;256.2
im-1o1,1,2;CCc1n(C)cc[n+]1COC;im-4,1;so4-4;248.2
im-1o1,2,2;CCc1n(CC)cc[n+]1COC;im-4,1,1;so4-4;320.2
im-1o1,3,1;CCCn1cc[n+](COC)c1C;pip-2,1;so4-4;316.2
im-pho1,1;COc1ccc(cc1)-[n+]1ccn(C)c1;pip-4,1;so4-4;328.2
im-1(1[f]),1;C[n+]1ccn(CC(F)(F)F)c1;mo-2,1;so4-4;292.2
im-2(6[f]),1;C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1;im-4,1;so4-3,2[f];258.1
im-11[br]1n3,1;Cn1cc[n+](C[C@@H](Br)CN=[N+]=[N-])c1;im-4,1,1;so4-3,2[f];285.8
im-3cn,1;Cn1cc[n+](CCCC#N)c1;im-4,1;so4-2;330.2
im-3cn,1,1;Cc1n(C)cc[n+]1CCCC#N;py-2,cn[2];so4-2;308.2
im-3cn,3cn;N#CCCCn1cc[n+](CCCC#N)c1;n-4,2,1,1;so4-2;307,0
im-3cooh,1;C[n+]1ccn(CCCC(O)=O)c1;pyr-2,1;so4-2;296.433333333333
im-2,1,s1;CCn1cc[n+](C)c1SC;pyr-4,2;so4-2;311,0
im-2,1,s3i;CCn1cc[n+](C)c1SC(C)C;pip-2,1;so4-2;193.2
