,cation,anion,MP,smiles
0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,COc1cc(ccc1O)C([O-])=O,320.5,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.COc1cc(ccc1O)C([O-])=O
1,C[N+](C)(C)C,CC(C)[C@H](N)C([O-])=O,313.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.CC(C)[C@H](N)C([O-])=O
2,CCCC[N+](CCCC)(CCCC)CCCC,CC(C)[C@H](N)C([O-])=O,298.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.CC(C)[C@H](N)C([O-])=O
3,CCCC[P+](CCCC)(CCCC)CCCC,CC(C)[C@H](N)C([O-])=O,298.9,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.CC(C)[C@H](N)C([O-])=O
4,CCCCC[N+](CCCCC)(CCCCC)CCCCC,FC(F)(F)C(=O)[N-]S(=O)(=O)C(F)(F)F,289.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)C(=O)[N-]S(=O)(=O)C(F)(F)F
5,CCCCCC[P+](C)(C)C,FC(F)(F)C(=O)[N-]S(=O)(=O)C(F)(F)F,280.5,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)C(=O)[N-]S(=O)(=O)C(F)(F)F
6,CCn1cc[n+](C)c1,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,407.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
7,CCCCn1cc[n+](C)c1,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,377.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
8,CCCCCn1cc[n+](C)c1,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,355.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
9,CCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,355.2,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.FC(F)(F)c1cc(cc(c1)C(F)(F)F)[B-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
