epoch,lr-Adam,mae,r2,rmse,step,val_mae,val_r2,val_rmse
,0.001,,,,0,,,
0,,81.29605865478516,-0.8020569086074829,104.19606018066406,19,,,
0,,93.1419906616211,-0.23843979835510254,131.31588745117188,39,,,
0,,77.94110107421875,-0.3255866765975952,109.7547836303711,59,,,
0,,60.444740295410156,-0.12343823909759521,82.89534759521484,79,,,
0,,56.44829177856445,0.028615295886993408,69.65943145751953,99,,,
0,,65.05058288574219,-0.24489104747772217,91.5168228149414,119,,,
0,,79.45321655273438,-0.26494812965393066,122.92507934570312,139,,,
0,,47.33911895751953,0.044036865234375,76.29249572753906,159,,,
0,,46.051692962646484,0.31225550174713135,60.78738784790039,179,,,
0,,,,,183,71.72257232666016,-0.12957052886486053,100.93793487548828
,0.00098,,,,184,,,
1,,96.2146987915039,-0.4657742977142334,129.76019287109375,199,,,
1,,102.45211791992188,-0.42255449295043945,142.1092987060547,219,,,
1,,90.29356384277344,-0.19249868392944336,134.49453735351562,239,,,
1,,42.85479736328125,0.4629020094871521,51.3084716796875,259,,,
1,,64.72720336914062,0.20231062173843384,84.832763671875,279,,,
1,,86.16749572753906,-0.04947364330291748,117.40849304199219,299,,,
1,,30.984453201293945,0.5675183534622192,37.59922409057617,319,,,
1,,93.9544677734375,-0.6426198482513428,127.17529296875,339,,,
1,,70.84435272216797,-0.2942005395889282,91.14203643798828,359,,,
1,,,,,367,74.28683471679688,-0.035941291600465775,96.60821533203125
,0.0009603999999999999,,,,368,,,
2,,79.35308837890625,-0.20778560638427734,120.36030578613281,379,,,
2,,82.58984375,-0.3841233253479004,116.9171371459961,399,,,
2,,59.56071853637695,-0.1388159990310669,90.9161605834961,419,,,
2,,58.793907165527344,-0.3128237724304199,83.47822570800781,439,,,
2,,87.4459228515625,-0.07583379745483398,127.5382080078125,459,,,
2,,63.133094787597656,-0.1785264015197754,90.77571868896484,479,,,
2,,109.41213989257812,-0.55283522605896,140.1755828857422,499,,,
2,,115.85050964355469,-0.1703166961669922,178.5677947998047,519,,,
2,,78.82493591308594,-0.21939539909362793,125.02340698242188,539,,,
2,,,,,551,70.67434692382812,-0.0430661141872406,96.93321228027344
,0.0009411919999999999,,,,552,,,
3,,101.9728012084961,-0.22387361526489258,144.9672393798828,559,,,
3,,69.65663146972656,-0.7109397649765015,96.61969757080078,579,,,
3,,56.37533950805664,0.08582204580307007,80.8347396850586,599,,,
3,,82.46308898925781,0.01841944456100464,138.5216064453125,619,,,
3,,72.70720672607422,-0.1119534969329834,90.80387878417969,639,,,
3,,109.11807250976562,-0.1809772253036499,147.3009796142578,659,,,
3,,92.30393981933594,-0.6050282716751099,138.24835205078125,679,,,
3,,87.9262466430664,-0.24720656871795654,103.69344329833984,699,,,
3,,40.17452621459961,0.24412894248962402,61.52203369140625,719,,,
3,,,,,735,67.42372131347656,-0.01673028990626335,96.38247680664062
,0.0009223681599999998,,,,736,,,
4,,59.87963104248047,-0.5270693302154541,82.2673110961914,739,,,
4,,54.5963134765625,0.038789570331573486,100.76573181152344,759,,,
4,,97.37325286865234,-0.4739863872528076,147.49932861328125,779,,,
4,,73.02213287353516,-0.3886871337890625,97.36308288574219,799,,,
4,,69.85787963867188,-0.09089982509613037,88.148681640625,819,,,
4,,48.5517463684082,0.005209684371948242,80.19722747802734,839,,,
4,,71.78044128417969,-0.00800025463104248,104.38587951660156,859,,,
4,,79.16785430908203,-0.633411169052124,100.3460693359375,879,,,
4,,60.06156921386719,0.06294417381286621,83.112060546875,899,,,
4,,78.62286376953125,-0.2732260227203369,107.87198638916016,919,,,
4,,,,,919,78.99009704589844,-0.2053132951259613,101.87753295898438
,0.0009039207967999998,,,,920,,,
5,,54.79951858520508,-0.2900611162185669,79.50328826904297,939,,,
5,,50.358070373535156,0.12419986724853516,77.68800354003906,959,,,
5,,45.81562805175781,0.037123918533325195,72.2138900756836,979,,,
5,,86.286376953125,-0.6087944507598877,121.79789733886719,999,,,
5,,101.1030502319336,-0.15539121627807617,143.18701171875,1019,,,
5,,74.32896423339844,-0.24455535411834717,103.37498474121094,1039,,,
5,,80.6855239868164,0.1031460165977478,119.15349578857422,1059,,,
5,,72.95532989501953,0.2634388208389282,90.58624267578125,1079,,,
5,,50.149105072021484,0.05092310905456543,71.79090881347656,1099,,,
5,,,,,1103,66.09689331054688,0.02793808840215206,94.0481185913086
,0.0008858423808639998,,,,1104,,,
6,,72.35710144042969,0.07786983251571655,106.3182601928711,1119,,,
6,,39.147586822509766,0.47208327054977417,48.125797271728516,1139,,,
6,,56.57246780395508,0.004393100738525391,79.6956558227539,1159,,,
