,smiles,MP
0,CS(=O)(=O)[O-].c1c[nH+]c[nH]1,188.0
1,O=S(=O)(O)C(F)(F)F.c1c[nH+]c[nH]1,122.9
2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1c[nH+]c[nH]1,73.0
3,F[B-](F)(F)F.c1c[nH+]c[nH]1,131.2
4,CCn1cc[nH+]c1.CS(=O)(=O)[O-],59.0
5,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5.0
6,CCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7.49
7,C[NH3+].O=S(=O)([O-])O,73.2
8,CS(=O)(=O)[O-].C[NH3+],91.0
9,C[NH3+].O=C([O-])C(F)(F)F,61.0
10,C[NH3+].O=[N+]([O-])[O-],111.0
11,C[NH3+].O=P([O-])(O)O,96.8
12,CC[NH3+].CS(=O)(=O)[O-],112.5
13,CC[NH3+].O=S(=O)([O-])C(F)(F)F,173.0
14,CC[NH3+].F[B-](F)(F)F,152.4
15,CC[NH3+].O=P([O-])(O)O,134.0
16,CCC[NH3+].O=S(=O)([O-])C(F)(F)F,176.0
17,CCC[NH3+].O=P([O-])(O)O,145.6
18,CCC[NH3+].[Br-],186.2
19,CCCC[NH3+].O=S(=O)([O-])C(F)(F)F,178.0
20,CCCC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,20.0
21,CCCC[NH3+].O=[N+]([O-])[O-],30.0
22,CCCC[NH3+].[Br-],205.0
23,CS(=O)(=O)[O-].C[NH2+]C,122.1
24,C[NH2+]C.O=S(=O)([O-])C(F)(F)F,114.0
25,C[NH2+]C.O=[N+]([O-])[O-],75.0
26,C[NH2+]C.O=P([O-])(O)O,117.3
27,CC[NH2+]CC.O=S(=O)([O-])C(F)(F)F,127.0
28,CC[NH2+]CC.O=[N+]([O-])[O-],96.0
29,CC[NH2+]CC.O=P([O-])(O)O,148.0
